Split,Images,GT persons,Pred persons,Matched,Det recall,Det precision,Compliance acc,Helmet acc,Vest acc
Test In-Domain (Kaggle test),80,172,204,140,0.813953488372093,0.6862745098039216,0.9642857142857143,0.9142857142857143,0.9428571428571428
Test Out-of-Domain (Ultralytics),1414,2244,3437,1588,0.7076648841354723,0.46203084084957813,0.6624685138539043,0.7487405541561712,0.8142317380352645
