epoch,accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.5649158954620361,0.6374654769897461,0.9434346556663513,0.4583701491355896,0.4573999047279358,0.5533333420753479,0.7816387414932251,0.6051200032234192,0.6274510025978088,0.5765765905380249
1,0.6001591682434082,0.7732992768287659,0.5606871247291565,0.6111111044883728,0.5433056950569153,0.6466666460037231,0.8159826993942261,0.5286976099014282,0.6976743936538696,0.5405405163764954
2,0.6354024410247803,0.8140546083450317,0.49092593789100647,0.6674157381057739,0.576292097568512,0.6066666841506958,0.8281376361846924,0.5065944194793701,0.7386363744735718,0.5855855941772461
3,0.6438153982162476,0.8373730778694153,0.4574923813343048,0.7045646905899048,0.5881108045578003,0.6200000047683716,0.8354306817054749,0.4980005919933319,0.7555555701255798,0.6126126050949097
4,0.6375625133514404,0.8501991629600525,0.43956202268600464,0.7236455082893372,0.6078673601150513,0.653333306312561,0.8493731617927551,0.48455968499183655,0.7882353067398071,0.6036036014556885
5,0.6610959768295288,0.864349901676178,0.42179974913597107,0.7389774322509766,0.6297407150268555,0.6266666650772095,0.8525429964065552,0.4785389304161072,0.7882353067398071,0.6036036014556885
6,0.6530240774154663,0.8719395995140076,0.40985971689224243,0.7470721006393433,0.6413829326629639,0.6333333253860474,0.857857882976532,0.48732540011405945,0.8311688303947449,0.5765765905380249
7,0.6551841497421265,0.8778936862945557,0.40157973766326904,0.7612782120704651,0.6429705619812012,0.653333306312561,0.8610754013061523,0.4646666347980499,0.7684210538864136,0.6576576828956604
8,0.6583674550056458,0.8845486640930176,0.3915037214756012,0.7607449889183044,0.6556711792945862,0.6800000071525574,0.8695123195648193,0.46195653080940247,0.7977527976036072,0.6396396160125732
9,0.6596180200576782,0.8911368250846863,0.38145944476127625,0.7721700072288513,0.6666078567504883,0.6866666674613953,0.8696792125701904,0.46824371814727783,0.8641975522041321,0.630630612373352
10,0.6698499321937561,0.8950857520103455,0.3743439316749573,0.77381432056427,0.6734873652458191,0.6800000071525574,0.8761142492294312,0.4535619616508484,0.8536585569381714,0.630630612373352
11,0.669622540473938,0.8999229669570923,0.36526191234588623,0.7856998443603516,0.6842476725578308,0.6399999856948853,0.8774727582931519,0.45627740025520325,0.8372092843055725,0.6486486196517944
12,0.6600727438926697,0.9035974144935608,0.3589184582233429,0.790165901184082,0.688834011554718,0.6866666674613953,0.8815005421638489,0.449752539396286,0.8470588326454163,0.6486486196517944
13,0.6761027574539185,0.9059966206550598,0.35465630888938904,0.793034017086029,0.6948315501213074,0.6866666674613953,0.8861480355262756,0.4421786367893219,0.8181818127632141,0.6486486196517944
14,0.6638244390487671,0.9101176857948303,0.3469996154308319,0.7976598739624023,0.6974775195121765,0.6933333277702332,0.8823823928833008,0.4457300901412964,0.8333333134651184,0.6756756901741028
15,0.6725784540176392,0.9133975505828857,0.3421376347541809,0.8032487034797668,0.697830319404602,0.6666666865348816,0.8872681856155396,0.43760621547698975,0.8369565010070801,0.6936936974525452
16,0.6743974685668945,0.9160300493240356,0.33673936128616333,0.808676540851593,0.7135297060012817,0.6733333468437195,0.8950855731964111,0.43324580788612366,0.8777777552604675,0.7117117047309875
17,0.6731469035148621,0.9197925925254822,0.32972997426986694,0.8114411234855652,0.718116044998169,0.6733333468437195,0.8918442130088806,0.4402236342430115,0.8902438879013062,0.6576576828956604
18,0.680081844329834,0.9188511371612549,0.33177450299263,0.8091054558753967,0.7147645354270935,0.6733333468437195,0.8946326375007629,0.4384750425815582,0.8461538553237915,0.6936936974525452
19,0.6743974685668945,0.9248924851417542,0.31909865140914917,0.8184346556663513,0.7267595529556274,0.6933333277702332,0.9004004001617432,0.4293143153190613,0.875,0.6936936974525452
