Split,Crops,loss,accuracy,AUC,precision,recall
Validation (Kaggle val),150,0.1979682892560959,0.6866666674613953,0.9736164808273317,0.939393937587738,0.837837815284729
Test In-Domain (Kaggle test),155,0.1934613585472107,0.6322580575942993,0.9794243574142456,0.9536423683166504,0.9056603908538818
Test Out-of-Domain (Ultralytics),2243,0.5742874145507812,0.5532768368721008,0.9121396541595459,0.9383590221405029,0.7312560677528381
