epoch,accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.5799226760864258,0.7888603210449219,0.5065130591392517,0.6659900546073914,0.5209031701087952,0.6333333253860474,0.8540207147598267,0.46649229526519775,0.7948718070983887,0.5585585832595825
1,0.6095952987670898,0.8820526599884033,0.39254623651504517,0.7699660062789917,0.6394425630569458,0.6399999856948853,0.8827637434005737,0.4270823299884796,0.8271604776382446,0.6036036014556885
2,0.6127785444259644,0.9052915573120117,0.3557598292827606,0.8025123476982117,0.6874228119850159,0.7066666483879089,0.9030460715293884,0.39109376072883606,0.8351648449897766,0.684684693813324
3,0.6240336298942566,0.9173333644866943,0.33441004157066345,0.8149126172065735,0.7075321674346924,0.6399999856948853,0.9006863832473755,0.3866162896156311,0.8085106611251831,0.684684693813324
4,0.6440427303314209,0.9264618754386902,0.3175925314426422,0.826492190361023,0.7352266907691956,0.6666666865348816,0.9098384380340576,0.3684495985507965,0.8191489577293396,0.6936936974525452
5,0.652000904083252,0.9347735047340393,0.3005237281322479,0.8407732248306274,0.7442229390144348,0.6933333277702332,0.920015275478363,0.3491975963115692,0.8282828330993652,0.7387387156486511
6,0.6443837881088257,0.9379896521568298,0.2911156415939331,0.8440384864807129,0.7579820156097412,0.6866666674613953,0.9258306622505188,0.33447834849357605,0.8285714387893677,0.7837837934494019
7,0.647567093372345,0.9452277421951294,0.2766105532646179,0.8481726050376892,0.7696242928504944,0.699999988079071,0.9260927438735962,0.3356771469116211,0.8247422575950623,0.7207207083702087
8,0.6537062525749207,0.9481973648071289,0.2688681483268738,0.8587890863418579,0.7756218314170837,0.653333306312561,0.9245673418045044,0.3355209231376648,0.8247422575950623,0.7207207083702087
9,0.6540473103523254,0.9531412720680237,0.25750023126602173,0.8692367076873779,0.7914976477622986,0.6866666674613953,0.9325277805328369,0.32008224725723267,0.8541666865348816,0.7387387156486511
10,0.6612096428871155,0.9540091753005981,0.25405701994895935,0.8666795492172241,0.7900864481925964,0.7066666483879089,0.9327899217605591,0.3139992654323578,0.8181818127632141,0.8108108043670654
11,0.6607548594474792,0.9571476578712463,0.24555708467960358,0.8665904402732849,0.8020815253257751,0.7066666483879089,0.9342199563980103,0.31251901388168335,0.8316831588745117,0.7567567825317383
12,0.6613233089447021,0.9602259397506714,0.23863588273525238,0.8782309293746948,0.8091374039649963,0.6800000071525574,0.9372467398643494,0.3073141872882843,0.8269230723381042,0.7747747898101807
13,0.6600727438926697,0.9621453285217285,0.23138166964054108,0.8820610642433167,0.8153113126754761,0.6866666674613953,0.9414413571357727,0.2926730811595917,0.849056601524353,0.8108108043670654
14,0.6579126715660095,0.9649040102958679,0.223284050822258,0.8888677954673767,0.8253660202026367,0.7066666483879089,0.9413700103759766,0.29790550470352173,0.844660222530365,0.7837837934494019
15,0.6568894982337952,0.96693354845047,0.2176906168460846,0.8875023722648621,0.8280119895935059,0.699999988079071,0.9423233270645142,0.2913859486579895,0.8333333134651184,0.8108108043670654
16,0.669622540473938,0.9686542749404907,0.21150219440460205,0.8873476982116699,0.8350679278373718,0.7066666483879089,0.9437532424926758,0.29368269443511963,0.8700000047683716,0.7837837934494019
17,0.6649613380432129,0.9714570641517639,0.20385660231113434,0.8915979266166687,0.8385958671569824,0.7133333086967468,0.9469708204269409,0.28739237785339355,0.8640776872634888,0.8018018007278442
18,0.6598454117774963,0.9717366099357605,0.2019948661327362,0.8970725536346436,0.8486505746841431,0.7066666483879089,0.9454692602157593,0.29192492365837097,0.8627451062202454,0.792792797088623
19,0.6695088744163513,0.973897397518158,0.1946645975112915,0.899587869644165,0.8470629453659058,0.7066666483879089,0.9490204453468323,0.27420124411582947,0.8363636136054993,0.8288288116455078
