epoch,accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.6538199186325073,0.9612405896186829,0.232854425907135,0.9006397724151611,0.7946727871894836,0.6600000262260437,0.9604604244232178,0.24092523753643036,0.8867924809455872,0.8468468189239502
1,0.6488176584243774,0.974499523639679,0.19096119701862335,0.9032257795333862,0.8544716835021973,0.653333306312561,0.9632967114448547,0.2338985651731491,0.9200000166893005,0.8288288116455078
2,0.6548430919647217,0.9817664623260498,0.16582731902599335,0.91783607006073,0.8768742084503174,0.6399999856948853,0.9649649262428284,0.23098160326480865,0.9191918969154358,0.8198198080062866
3,0.6431332230567932,0.9842549562454224,0.1524796485900879,0.9284926652908325,0.8909860849380493,0.6600000262260437,0.968110978603363,0.215945303440094,0.9047619104385376,0.8558558821678162
4,0.6517735123634338,0.9886444807052612,0.13164278864860535,0.935869574546814,0.9112718105316162,0.6933333277702332,0.9710424542427063,0.2074330896139145,0.939393937587738,0.837837815284729
5,0.6584811210632324,0.9911041855812073,0.1157689020037651,0.9475018382072449,0.9232668876647949,0.6866666674613953,0.9736164808273315,0.1979682892560959,0.939393937587738,0.837837815284729
6,0.6532514691352844,0.9930946826934814,0.10327040404081345,0.9545700550079346,0.9340271949768066,0.6733333468437195,0.9695410132408142,0.21653629839420319,0.9387755393981934,0.8288288116455078
7,0.6492723822593689,0.994335949420929,0.09391551464796066,0.9534050226211548,0.9384371042251587,0.6933333277702332,0.9722579717636108,0.20827390253543854,0.9300000071525574,0.837837815284729
8,0.6401773691177368,0.9953458309173584,0.08378929644823074,0.9635049700737,0.9407302737236023,0.6600000262260437,0.9690166115760803,0.22184008359909058,0.8952381014823914,0.8468468189239502
9,0.6388130784034729,0.996658980846405,0.0731033980846405,0.968353271484375,0.9553713202476501,0.6466666460037231,0.9661327600479126,0.2423829585313797,0.938144326210022,0.8198198080062866
10,0.6304001808166504,0.9970920085906982,0.06692810356616974,0.9700053334236145,0.9583700895309448,0.6600000262260437,0.972281813621521,0.21918527781963348,0.9223300814628601,0.8558558821678162
